MA0002.2	RUNX1
MA0003.4	TFAP2A
MA0004.1	Arnt
MA0006.1	Ahr::Arnt
MA0007.3	Ar
MA0009.2	TBXT
MA0014.3	PAX5
MA0017.2	NR2F1
MA0018.4	CREB1
MA0019.1	Ddit3::Cebpa
MA0024.3	E2F1
MA0025.2	NFIL3
MA0027.2	EN1
MA0028.2	ELK1
MA0029.1	Mecom
MA0030.1	FOXF2
MA0031.1	FOXD1
MA0032.2	FOXC1
MA0033.2	FOXL1
MA0035.4	GATA1
MA0036.3	GATA2
MA0037.3	GATA3
MA0038.2	GFI1
MA0039.4	KLF4
MA0040.1	Foxq1
MA0041.1	Foxd3
MA0042.2	FOXI1
MA0043.3	HLF
MA0046.2	HNF1A
MA0047.3	FOXA2
MA0048.2	NHLH1
MA0050.2	IRF1
MA0051.1	IRF2
MA0052.4	MEF2A
MA0056.2	MZF1
MA0057.1	MZF1(var.2)
MA0058.3	MAX
MA0059.1	MAX::MYC
MA0060.3	NFYA
MA0062.3	GABPA
MA0063.2	NKX2-5
MA0065.2	Pparg::Rxra
MA0066.1	PPARG
MA0067.1	Pax2
MA0068.2	PAX4
MA0069.1	PAX6
MA0070.1	PBX1
MA0071.1	RORA
MA0072.1	RORA(var.2)
MA0073.1	RREB1
MA0074.1	RXRA::VDR
MA0075.3	PRRX2
MA0076.2	ELK4
MA0077.1	SOX9
MA0078.1	Sox17
MA0079.4	SP1
MA0080.5	SPI1
MA0081.2	SPIB
MA0083.3	SRF
MA0084.1	SRY
MA0087.1	Sox5
MA0088.2	ZNF143
MA0089.2	NFE2L1
MA0090.3	TEAD1
MA0091.1	TAL1::TCF3
MA0092.1	Hand1::Tcf3
MA0093.3	USF1
MA0095.2	YY1
MA0098.3	ETS1
MA0099.3	FOS::JUN
MA0100.3	MYB
MA0101.1	REL
MA0102.4	CEBPA
MA0103.3	ZEB1
MA0104.4	MYCN
MA0105.4	NFKB1
MA0106.3	TP53
MA0107.1	RELA
MA0108.2	TBP
MA0109.1	HLTF
MA0111.1	Spz1
MA0112.3	ESR1
MA0113.3	NR3C1
MA0114.4	HNF4A
MA0115.1	NR1H2::RXRA
MA0116.1	Znf423
MA0117.2	Mafb
MA0119.1	NFIC::TLX1
MA0122.3	Nkx3-2
MA0124.2	Nkx3-1
MA0125.1	Nobox
MA0130.1	ZNF354C
MA0131.2	HINFP
MA0132.2	PDX1
MA0135.1	Lhx3
MA0136.2	ELF5
MA0137.3	STAT1
MA0138.2	REST
MA0139.1	CTCF
MA0140.2	GATA1::TAL1
MA0141.3	ESRRB
MA0142.1	Pou5f1::Sox2
MA0143.4	SOX2
MA0144.2	STAT3
MA0145.3	TFCP2
MA0146.2	Zfx
MA0147.3	MYC
MA0148.4	FOXA1
MA0149.1	EWSR1-FLI1
MA0150.2	Nfe2l2
MA0151.1	Arid3a
MA0152.1	NFATC2
MA0153.2	HNF1B
MA0154.4	EBF1
MA0155.1	INSM1
MA0156.2	FEV
MA0157.2	FOXO3
MA0158.2	HOXA5
MA0159.1	RARA::RXRA
MA0160.1	NR4A2
MA0161.2	NFIC
MA0162.4	EGR1
MA0163.1	PLAG1
MA0164.1	Nr2e3
MA0258.2	ESR2
MA0259.1	ARNT::HIF1A
MA0442.2	SOX10
MA0461.2	Atoh1
MA0462.2	BATF::JUN
MA0463.2	BCL6
MA0464.2	BHLHE40
MA0465.2	CDX2
MA0466.2	CEBPB
MA0467.1	Crx
MA0468.1	DUX4
MA0469.3	E2F3
MA0470.2	E2F4
MA0471.2	E2F6
MA0472.2	EGR2
MA0473.3	ELF1
MA0474.2	ERG
MA0475.2	FLI1
MA0476.1	FOS
MA0477.2	FOSL1
MA0478.1	FOSL2
MA0479.1	FOXH1
MA0480.1	Foxo1
MA0481.3	FOXP1
MA0482.2	GATA4
MA0483.1	Gfi1b
MA0484.2	HNF4G
MA0485.2	HOXC9
MA0486.2	HSF1
MA0488.1	JUN
MA0489.1	JUN(var.2)
MA0490.2	JUNB
MA0491.2	JUND
MA0492.1	JUND(var.2)
MA0493.1	Klf1
MA0494.1	Nr1h3::Rxra
MA0495.3	MAFF
MA0496.3	MAFK
MA0497.1	MEF2C
MA0498.2	MEIS1
MA0499.2	MYOD1
MA0500.2	MYOG
MA0501.1	MAF::NFE2
MA0502.2	NFYB
MA0503.1	Nkx2-5(var.2)
MA0504.1	NR2C2
MA0505.1	Nr5a2
MA0506.1	NRF1
MA0507.1	POU2F2
MA0508.3	PRDM1
MA0509.2	RFX1
MA0510.2	RFX5
MA0511.2	RUNX2
MA0512.2	Rxra
MA0513.1	SMAD2::SMAD3::SMAD4
MA0514.1	Sox3
MA0515.1	Sox6
MA0516.2	SP2
MA0517.1	STAT1::STAT2
MA0518.1	Stat4
MA0519.1	Stat5a::Stat5b
MA0520.1	Stat6
MA0521.1	Tcf12
MA0522.3	TCF3
MA0523.1	TCF7L2
MA0524.2	TFAP2C
MA0525.2	TP63
MA0526.3	USF2
MA0527.1	ZBTB33
MA0528.2	ZNF263
MA0591.1	Bach1::Mafk
MA0592.3	ESRRA
MA0593.1	FOXP2
MA0594.2	HOXA9
MA0595.1	SREBF1
MA0596.1	SREBF2
MA0597.1	THAP1
MA0598.3	EHF
MA0599.1	KLF5
MA0600.2	RFX2
MA0601.1	Arid3b
MA0602.1	Arid5a
MA0603.1	Arntl
MA0604.1	Atf1
MA0605.2	ATF3
MA0606.1	NFAT5
MA0607.1	Bhlha15
MA0608.1	Creb3l2
MA0609.2	CREM
MA0610.1	DMRT3
MA0611.1	Dux
MA0612.2	EMX1
MA0613.1	FOXG1
MA0614.1	Foxj2
MA0615.1	Gmeb1
MA0616.2	HES2
MA0618.1	LBX1
MA0619.1	LIN54
MA0620.3	MITF
MA0621.1	mix-a
MA0622.1	Mlxip
MA0623.2	NEUROG1
MA0624.1	NFATC1
MA0625.1	NFATC3
MA0626.1	Npas2
MA0627.2	POU2F3
MA0628.1	POU6F1
MA0629.1	Rhox11
MA0630.1	SHOX
MA0631.1	Six3
MA0632.2	TCFL5
MA0633.1	Twist2
MA0634.1	ALX3
MA0635.1	BARHL2
MA0636.1	BHLHE41
MA0637.1	CENPB
MA0638.1	CREB3
MA0639.1	DBP
MA0640.2	ELF3
MA0641.1	ELF4
MA0642.1	EN2
MA0643.1	Esrrg
MA0644.1	ESX1
MA0645.1	ETV6
MA0646.1	GCM1
MA0647.1	GRHL1
MA0648.1	GSC
MA0649.1	HEY2
MA0650.2	HOXA13
MA0651.1	HOXC11
MA0652.1	IRF8
MA0653.1	IRF9
MA0654.1	ISX
MA0655.1	JDP2
MA0656.1	JDP2(var.2)
MA0657.1	KLF13
MA0658.1	LHX6
MA0659.2	MAFG
MA0660.1	MEF2B
MA0661.1	MEOX1
MA0662.1	MIXL1
MA0663.1	MLX
MA0664.1	MLXIPL
MA0665.1	MSC
MA0666.1	MSX1
MA0667.1	MYF6
MA0668.1	NEUROD2
MA0669.1	NEUROG2
MA0670.1	NFIA
MA0671.1	NFIX
MA0672.1	NKX2-3
MA0673.1	NKX2-8
MA0674.1	NKX6-1
MA0675.1	NKX6-2
MA0676.1	Nr2e1
MA0677.1	Nr2f6
MA0678.1	OLIG2
MA0679.2	ONECUT1
MA0680.1	PAX7
MA0681.2	PHOX2B
MA0682.2	PITX1
MA0683.1	POU4F2
MA0684.2	RUNX3
MA0685.1	SP4
MA0686.1	SPDEF
MA0687.1	SPIC
MA0688.1	TBX2
MA0689.1	TBX20
MA0690.1	TBX21
MA0691.1	TFAP4
MA0692.1	TFEB
MA0693.2	VDR
MA0694.1	ZBTB7B
MA0695.1	ZBTB7C
MA0696.1	ZIC1
MA0697.1	ZIC3
MA0698.1	ZBTB18
MA0699.1	LBX2
MA0700.2	LHX2
MA0701.2	LHX9
MA0702.2	LMX1A
MA0703.2	LMX1B
MA0704.1	Lhx4
MA0705.1	Lhx8
MA0706.1	MEOX2
MA0707.1	MNX1
MA0708.1	MSX2
MA0709.1	Msx3
MA0710.1	NOTO
MA0711.1	OTX1
MA0712.2	OTX2
MA0713.1	PHOX2A
MA0714.1	PITX3
MA0715.1	PROP1
MA0716.1	PRRX1
MA0717.1	RAX2
MA0718.1	RAX
MA0719.1	RHOXF1
MA0720.1	Shox2
MA0721.1	UNCX
MA0722.1	VAX1
MA0723.1	VAX2
MA0724.1	VENTX
MA0725.1	VSX1
MA0726.1	VSX2
MA0727.1	NR3C2
MA0728.1	Nr2f6(var.2)
MA0729.1	RARA
MA0730.1	RARA(var.2)
MA0731.1	BCL6B
MA0732.1	EGR3
MA0733.1	EGR4
MA0734.2	GLI2
MA0735.1	GLIS1
MA0736.1	GLIS2
MA0737.1	GLIS3
MA0738.1	HIC2
MA0739.1	Hic1
MA0740.1	KLF14
MA0741.1	KLF16
MA0742.1	Klf12
MA0743.2	SCRT1
MA0744.2	SCRT2
MA0745.2	SNAI2
MA0746.2	SP3
MA0747.1	SP8
MA0748.2	YY2
MA0749.1	ZBED1
MA0750.2	ZBTB7A
MA0751.1	ZIC4
MA0752.1	ZNF410
MA0753.2	ZNF740
MA0754.1	CUX1
MA0755.1	CUX2
MA0756.1	ONECUT2
MA0757.1	ONECUT3
MA0758.1	E2F7
MA0759.1	ELK3
MA0760.1	ERF
MA0761.2	ETV1
MA0762.1	ETV2
MA0763.1	ETV3
